date,rides
2020-04-10,1600
2020-04-11,4059
2020-04-12,3242
2020-04-13,1730
2020-04-14,2084
2020-04-15,2281
2020-04-16,2077
2020-04-17,2175
2020-04-18,2632
2020-04-19,4683
2020-04-20,2319
2020-04-21,1905
2020-04-22,2716
2020-04-23,1272
2020-04-24,1829
2020-04-25,4713
2020-04-26,1833
2020-04-27,2045
2020-04-28,1683
2020-04-29,3743
2020-04-30,778
2020-05-01,2968
2020-05-02,9027
2020-05-03,3663
2020-05-04,3718
2020-05-05,2374
2020-05-06,1385
2020-05-07,3934
2020-05-08,1818
2020-05-09,2912
2020-05-10,5827
2020-05-11,2259
2020-05-12,3028
2020-05-13,4144
2020-05-14,3610
2020-05-15,5818
2020-05-16,9016
2020-05-17,5658
2020-05-18,2941
2020-05-19,3201
2020-05-20,3417
2020-05-21,3729
2020-05-22,3058
2020-05-23,9169
2020-05-24,6337
2020-05-25,8853
2020-05-26,4926
2020-05-27,4801
2020-05-28,3471
2020-05-29,5615
2020-05-30,10736
2020-05-31,7612
2020-06-01,5013
2020-06-02,5385
2020-06-03,6515
2020-06-04,5165
2020-06-05,5044
2020-06-06,15479
2020-06-07,10635
2020-06-08,7015
2020-06-09,6756
2020-06-10,5410
2020-06-11,4699
2020-06-12,7424
2020-06-13,12094
2020-06-14,10334
2020-06-15,6042
2020-06-16,6203
2020-06-17,2911
2020-06-18,5902
2020-06-19,7257
2020-06-20,6305
2020-06-21,9037
2020-06-22,4958
2020-06-23,6190
2020-06-24,7401
2020-06-25,6073
2020-06-26,8096
2020-06-27,9056
2020-06-28,8589
2020-06-29,6368
2020-06-30,6666
2020-07-01,6388
2020-07-02,7453
2020-07-03,8491
2020-07-04,11270
2020-07-05,6998
2020-07-06,4982
2020-07-07,5764
2020-07-08,6719
2020-07-09,6694
2020-07-10,7542
2020-07-11,10171
2020-07-12,8634
2020-07-13,6657
2020-07-14,7102
2020-07-15,7191
2020-07-16,7413
2020-07-17,7880
2020-07-18,9900
2020-07-19,7922
2020-07-20,5465
2020-07-21,5901
2020-07-22,4471
2020-07-23,6487
2020-07-24,7104
2020-07-25,11069
2020-07-26,8644
2020-07-27,6858
2020-07-28,7031
2020-07-29,7548
2020-07-30,6390
2020-07-31,6184
2020-08-01,10994
2020-08-02,9417
2020-08-03,4784
2020-08-04,5729
2020-08-05,8472
2020-08-06,6077
2020-08-07,8048
2020-08-08,12018
2020-08-09,9527
2020-08-10,6722
2020-08-11,7385
2020-08-12,6158
2020-08-13,5757
2020-08-14,8221
2020-08-15,9180
2020-08-16,7134
2020-08-17,6328
2020-08-18,8185
2020-08-19,7135
2020-08-20,8335
2020-08-21,8729
2020-08-22,10862
2020-08-23,10015
2020-08-24,6694
2020-08-25,6829
2020-08-26,8414
2020-08-27,8683
2020-08-28,10632
2020-08-29,8561
2020-08-30,12475
2020-08-31,4073
2020-09-01,7225
2020-09-02,7051
2020-09-03,5571
2020-09-04,8832
2020-09-05,12902
2020-09-06,12344
2020-09-07,10588
2020-09-08,7052
2020-09-09,4834
2020-09-10,4080
2020-09-11,8581
2020-09-12,10668
2020-09-13,10927
2020-09-14,7384
2020-09-15,7570
2020-09-16,7671
2020-09-17,4965
2020-09-18,9414
2020-09-19,12752
2020-09-20,10644
2020-09-21,7084
2020-09-22,7501
2020-09-23,8782
2020-09-24,8043
2020-09-25,6637
2020-09-26,10100
2020-09-27,9801
2020-09-28,7191
2020-09-29,6140
2020-09-30,7540
2020-10-01,6869
2020-10-02,8502
2020-10-03,12109
2020-10-04,9026
2020-10-05,6653
2020-10-06,7333
2020-10-07,8127
2020-10-08,7637
2020-10-09,8979
2020-10-10,11611
2020-10-11,5150
2020-10-12,3132
2020-10-13,6795
2020-10-14,7601
2020-10-15,7909
2020-10-16,5212
2020-10-17,11101
2020-10-18,9019
2020-10-19,6647
2020-10-20,7197
2020-10-21,7071
2020-10-22,7441
2020-10-23,8719
2020-10-24,11623
2020-10-25,3011
2020-10-26,5753
2020-10-27,6464
2020-10-28,7182
2020-10-29,2193
2020-10-30,6480
2020-10-31,7251
2020-11-01,3675
2020-11-02,4470
2020-11-03,6827
2020-11-04,5543
2020-11-05,6147
2020-11-06,7765
2020-11-07,14633
2020-11-08,9915
2020-11-09,6258
2020-11-10,7113
2020-11-11,2048
2020-11-12,3515
2020-11-13,7053
2020-11-14,9528
2020-11-15,5822
2020-11-16,5324
2020-11-17,4382
2020-11-18,4148
2020-11-19,4476
2020-11-20,6012
2020-11-21,7804
2020-11-22,5771
2020-11-23,3966
2020-11-24,4391
2020-11-25,4164
2020-11-26,4191
2020-11-27,5687
2020-11-28,6898
2020-11-29,5628
2020-11-30,2258
2020-12-01,3416
2020-12-02,3600
2020-12-03,4166
2020-12-04,3549
2020-12-05,4651
2020-12-06,4183
2020-12-07,3038
2020-12-08,3297
2020-12-09,3286
2020-12-10,3942
2020-12-11,5055
2020-12-12,7405
2020-12-13,6394
2020-12-14,1649
2020-12-15,4106
2020-12-16,1208
2020-12-17,2706
2020-12-18,3209
2020-12-19,3625
2020-12-20,3327
2020-12-21,3409
2020-12-22,3288
2020-12-23,3361
2020-12-24,1248
2020-12-25,1125
2020-12-26,1844
2020-12-27,2595
2020-12-28,3559
2020-12-29,3052
2020-12-30,3228
2020-12-31,3299
