;station_name;station_id;lat;lon
183;Crystal City Metro / 18th St & S Bell St;31007;38.857403999999995;-77.05113100000001
184;Central Library / Quincy St & 10th St N;31025;38.88395766666667;-77.10782816666666
185;Commerce St & Fayette St;31045;38.805648;-77.05293
186;Nannie Helen Burroughs Ave & 49th St NE;31710;38.898536;-76.931862
187;C & O Canal & Wisconsin Ave NW;31225;38.90375;-77.06269
188;Franklin St & S Washington St;31907;38.798133;-77.0487
189;Kennebec St & 11th St N;31905;38.880992;-77.135271
190;Four Mile Run Dr & S Walter Reed Dr;31059;38.847359999999995;-77.095431
191;Pleasant St & MLK Ave SE;31807;38.863896999999994;-76.990037
192;King Greenleaf Rec Center;31654;38.876211;-77.012443
193;28th St & S Meade St;31055;38.846222;-77.069275
194;61st St & Banks Pl NE;31714;38.891805;-76.913563
195;Tanger Outlets;32415;38.7968;-77.0026
196;Connecticut Ave & Chevy Chase Lake Dr;32051;38.994095;-77.07701899999999
197;Four Mile Run Dr & S Shirlington Rd;31057;38.8444;-77.085931
198;25th St & Pennsylvania Ave NW;31237;38.903827;-77.053485
199;15th & L St NW;31276;38.903915833333336;-77.03505066666666
200;King St Metro South;31048;38.805762;-77.060626
201;Mount Vernon Ave & Kennedy St;31088;38.833077;-77.059821
202;Virginia Ave & 25th St NW;31297;38.899543;-77.05406816666667
203;East West Hwy & Blair Mill Rd;32019;38.9901755;-77.02941866666667
204;Aurora Hills Cmty Ctr / 18th St & S Hayes St;31004;38.857865999999994;-77.05949
205;Fairfax Village;31706;38.865590000000005;-76.95210300000001
206;Silver Spring Metro / Colesville Rd & Wayne Ave;32012;38.994895;-77.029531
207;Spring St & 2nd Ave;32050;38.997653;-77.034499
208;10th St & L'Enfant Plaza SW;31287;38.884322;-77.02601
209;Maple & Ritchie Ave;32011;38.983627;-77.006311
210;WAU / Flower Ave & Division St;32049;38.986743;-77.000035
211;Mount Vernon Ave & Four Mile Run Park;31909;38.843422;-77.06401600000001
212;Pentagon City Metro / 12th St & S Hayes St;31005;38.862303000000004;-77.059936
213;Takoma Metro;31408;38.975219;-77.016855
214;Clark St & 26th St S;31012;38.850688;-77.05152
215;Arlington Blvd & Fillmore St;31070;38.873754999999996;-77.089233
216;The Mall at Prince Georges;32422;38.968841999999995;-76.954171
217;Baltimore Ave & Jefferson St;32403;38.95548;-76.94013299999999
218;Riggs Rd & East West Hwy;32414;38.972488166666665;-76.98057483333334
219;Hyattsville Library / Adelphi Rd & Toledo Rd;32417;38.9698;-76.9493
220;Connecticut Ave & Yuma St NW;31318;38.94708633333333;-77.06504833333334
221;Connecticut Ave & McKinley St NW;31315;38.9645685;-77.07515966666666
222;15th St & Pennsylvania Ave NW;31129;38.896464;-77.03338000000001
223;Commonwealth Ave & E Monroe Ave;31913;38.820058;-77.06282
224;Towers Crescent Dr & Tysons One Pl;32222;38.915246;-77.220157
225;Livingston Rd & 3rd St SE;31818;38.82379216666666;-77.00222716666667
226;6th St & Indiana Ave NW;31264;38.894573;-77.01994
227;South Capitol & Atlantic St SW;31811;38.831516;-77.008133
